apparition	ghost	phantom
diddy	puff_daddy	puffy
augustus	caesar_augustus	gaius_octavius
earth	globe	planet_earth
frontman	lead_vocalist	lead_vocals
gallons	gallon	us_gal
host	presenter	tv_host
mental_illness	psychiatric_disorders	psychiatric_illness
distilled_beverage	liquor	spirits
cephas	peter	petrus
cheikh	shaikh	shaykh
dairy_cattle	dairy_cow
dizzy_gillespie	dizzy
macedonian_language	macedonian
carmel-by-the-sea	carmel
justin_martyr	justin
judicial_system	judiciary
russian_orthodox_church	russian_orthodox
radnorshire	radnor
john_jones	martian_manhunter
juilliard_school	juilliard
commune	municipality
aol_time_warner	time_warner
gaulish_language	gaulish
edo_period	tokugawa_period
class_conflict	class_struggle
bms	bristol-myers_squibb
anton_webern	webern
frege	gottlob_frege
lancelot	sir_lancelot
alfred_de_musset	musset
antonym	opposites
small_bowel	small_intestine
television_network	tv_network
alec_douglas-home	sir_alec_douglas-home
charles_lutwidge_dodgson	lewis_carroll
landlocked_country	landlocked
admiral_nimitz	chester_nimitz
afc	american_football_conference
sids	sudden_infant_death_syndrome
violins	violin
hafez	hafiz
pricewaterhousecoopers	pwc
vegetarian_cuisine	vegetarian_food
electricity_consumption	power_consumption
epoch	j2000
death	deceased
bopomofo	zhuyin
reconquest	reconquista
carrots	carrot
heat_conduction	thermal_conduction
dell_computer	dell
ford_motor_company	ford
trabzon	trebizond
majapahit_empire	majapahit
irreversibility	irreversible_process
bloomberg_businessweek	business_week
medical_ultrasonography	ultrasonography
mustela	weasel
mishnah	mishna
bobby_drake	iceman
green_arrow	oliver_queen
auguste_escoffier	escoffier
national_transportation_safety_board	ntsb
scotch_whisky	scotch
farm	tax_farming
duns_scotus	john_duns_scotus
copper	cu
amartya_sen	sen
insurance_agent	insurance_broker
jesuits	jesuit
tigrigna	tigrinya
kibibyte	kib
ya	young_adult_literature
nippon_professional_baseball	npb
jewellery	jewelry
experimental_medicine	medical_research
arbitrariness	arbitrary
cyclops	scott_summers
boston_celtics	celtics
2lt	second_lieutenant
alec_baldwin	alec
erik_satie	satie
panic_attacks	panic_attack
anfield_road	anfield
disneyland_park	disneyland
moscow_state_university	moscow_university
edvard_grieg	grieg
vab	vehicle_assembly_building
kl	kuala_lumpur
diesel_multiple_unit	dmu
captain_nemo	nemo
county_kerry	kerry
pilsner	pils
aquaman	orin
human_urine	urine
independent_record_label	independent
british_railways	british_rail
madama_butterfly	madame_butterfly
colon	large_intestine
frodo_baggins	frodo
ducks	duck
general_george_marshall	george_marshall
huntington_library	the_huntington
korean_conflict	korean_war
britain	great_britain
vienna_philharmonic_orchestra	vienna_philharmonic
john_entwistle	the_ox
u.n.	united_nations
frg	west_germany
dick_cheney	vice_president_dick_cheney
harbor	harbour
nanjing_massacre	nanking_massacre
base	radix
menuet	minuet
batavia	jakarta
barber	samuel_barber
furlongs	furlong
madame_chiang	soong_may-ling
bloody_mary	mary_tudor
lord_vishnu	vishnu
concordia_university	sir_george_williams_university
breeders	the_breeders
serbian_language	serbian
robert_smirke	sir_robert_smirke
sheffield_wednesday	the_owls
bytes	byte
gelatine	gelatin
pacific_coast_league	pcl
freddie_mercury	freddie
hibernian	hibs
suicidal_tendencies	suicidal
pacific_time_zone	pst
quarts	quart
chevrolet	chevy
ascomycetes	ascomycota
bondi_beach	bondi
percentage	percent
choate_rosemary_hall	choate
cornell_university	cornell
al_franken	franken
dukas	paul_dukas
vistula_river	vistula
cemetery	graveyard
rich_text_format	rtf
hindustani_classical_music	hindustani_music
alexander_ii	emperor_alexander_ii
centre_national_de_la_recherche_scientifique	cnrs
mmhg	torr
firefox	mozilla_firefox
developer	software_developer
elephants	elephant
omega-3_fatty_acids	omega-3_fatty_acid
pohnpei	ponape
bird	charlie_parker
hofburg_palace	hofburg
ping_pong	table_tennis
buena_vista_home_entertainment	walt_disney_studios_home_entertainment
misfits	the_misfits
apache_software_foundation	asf
sulfate	sulphate
raaf	royal_australian_air_force
octavia_minor	octavia
mashad	mashhad
higher_criticism	historical_criticism
talcum_powder	talc
saragossa	zaragoza
nautical_miles	nautical_mile
sakha_republic	yakutia
w3c	world_wide_web_consortium
jefferson_starship	starship
gramophone_record	vinyl_record
hertfordshire	herts
nb	new_brunswick
sadomasochism	sm
federal_emergency_management_agency	fema
alcs	american_league_championship_series
lutheranism	lutheran
national_league_championship_series	nlcs
john_locke	locke
canyon	gorge
melissa_joan_hart	melissa
thirteen	wnet
william_ewart_gladstone	william_gladstone
arlecchino	harlequin
regional_organizations	regional_organization
county_longford	longford
auto_racing	automobile_racing
fiume	rijeka
audiencia	real_audiencia
original_video_animation	ova
da	dopamine
pregnancy	pregnant
calvary	golgotha
real_estate_agent	real_estate_broker
kristiania	oslo
boise_state_university	bsu
baptists	baptist
brunei_darussalam	brunei
ryuichi_sakamoto	sakamoto
plains_indians	plains
madeira_islands	madeira
pentecostalism	pentecostal
d66	democrats_66
middle_eastern_cuisine	middle_eastern
ba	british_airways
gravitational_slingshot	gravity_assist
ariosto	ludovico_ariosto
social_security_act	social_security
shiga_prefecture	shiga
acetylcholine	ach
home_depot	the_home_depot
melody	tune
succoth	sukkot
parasite	parasitism
echinodermata	echinoderm
quadraphonic_sound	quadraphonic
pharmaceutical_industry	pharmaceutical
scooby-doo	scooby
yamaguchi_prefecture	yamaguchi
mortimer_wheeler	sir_mortimer_wheeler
zoonoses	zoonosis
cme	coronal_mass_ejection
carnegie_mellon_university	cmu
byrds	the_byrds
guinevere	queen_guinevere
corse	corsica
clint_eastwood	clint
black_forest	schwarzwald
serbo-croatian_language	serbo-croatian
hippopotamus	hippo
burma	myanmar
vienna	wien
lighting_designer	lighting_design
geordi_la_forge	geordi
vintner	winemaker
principal_skinner	seymour_skinner
westland_aircraft	westland
hamlet	prince_hamlet
bl	yaoi
apartment_building	apartment
mozart	wolfgang_amadeus_mozart
ip_man	yip_man
campidoglio	capitoline_hill
county_meath	meath
croatian_democratic_union	hdz
demons	melbourne_football_club
clemson_university	clemson
tpg_capital	tpg
killer_whale	orca
anglo-catholicism	anglo-catholic
buddhahood	buddha
city_clerk	clerk
philadelphia	philly
annelida	annelid
monday_night_raw	wwe_raw
national_rifle_association	nra
freia	freyja
tatar_language	tatar
buddhism	buddhist
muscogee	muskogee
ziggy_marley	ziggy
east_asia	eastern_asia
stacy_keach	stacy
gynaecology	gynecology
clash	the_clash
automotive	car
big_bopper	the_big_bopper
great_reform_act	reform_act_1832
new_york_stock_exchange	nyse
haemophilia	hemophilia
cyprinidae	cyprinids
jewish_christians	jewish_christian
garbo	greta_garbo
kalmar_county	kalmar
lower_saxony	niedersachsen
computational_science	scientific_computing
solar_hot_water	solar_water_heating
lake_district_national_park	lake_district
diabetes_mellitus_type_1	type_1_diabetes
liliaceae	lily_family
un_security_council	united_nations_security_council
traffic_congestion	traffic_jam
premiere	sky_deutschland
passeri	songbird
nassau_inter-county_express	nice
peloponnese	peloponnesus
harrow_school	harrow
recall	recollection
colonel_bogey_march	colonel_bogey
cell_biology	cytology
gioachino_rossini	rossini
pine	pinus
constable	police_constable
eukaryota	eukaryote
mad_magazine	mad
malayalam_language	malayalam
common_fig	figs
general_omar_bradley	omar_bradley
america_online	aol
emacs	gnu_emacs
flu	influenza
bombay	mumbai
manganese	mn
diego_maradona	maradona
tulipa	tulip
breast_milk	human_milk
lida	lyda
boccaccio	giovanni_boccaccio
finzi	gerald_finzi
honey_bee	honeybees
spree_river	spree
nitroglycerine	nitroglycerin
hides	hide
bourbon_whiskey	bourbon
emmerdale_farm	emmerdale
apricots	apricot
security_guard	security_officer
baby_doc	jean-claude_duvalier
theater	theatre
giuseppe_verdi	verdi
cbs	columbia_broadcasting_system
ammonia	anhydrous_ammonia
the_undertones	undertones
apple_computers	apple_inc.
bavaria	bayern
salix	willow
cable_news_network	cnn
euro-american	european_american
deputy_president	vice_president
candidiasis	yeast_infection
kilobytes	kilobyte
anti-social_behaviour	antisocial_behavior
chekov	pavel_chekov
veronica_lodge	veronica
target_corporation	target
champaign-urbana	champaign
oxidation	redox
france	french_republic
respiratory_diseases	respiratory_disease
whoi	woods_hole_oceanographic_institution
cronus	kronos
bronchial_pneumonia	bronchopneumonia
kandinsky	wassily_kandinsky
delays	the_delays
deutsche_bahn_ag	deutsche_bahn
hotel_manager	hotelier
general_dynamics_corporation	general_dynamics
dundee_city	dundee
navarra	navarre
digital_signal_processing	dsp
ala	american_library_association
zarathustra	zoroaster
juan_carlos	king_juan_carlos_i
indic_languages	indo-aryan_languages
andrew_lloyd_webber	lloyd_webber
color_blindness	colour_blindness
delhi	national_capital_territory
pallava_dynasty	pallava
hemorrhoids	hemorrhoid
carlos_santana	santana
baroque_architecture	baroque
african_national_congress	anc
unfpa	united_nations_population_fund
glitter_band	the_glitter_band
alabama	al
okeh_records	okeh
merano	meran
decibels	decibel
jean-pierre_rampal	rampal
peter_kember	sonic_boom
barry_gibb	barry
archives	archive
bonzo_dog_band	bonzo_dog_doo-dah_band
andalucia	andalusia
huldrych_zwingli	ulrich_zwingli
london_stansted_airport	stansted
trotskyism	trotskyist
sumerian_language	sumerian
communications	communication
abraham	ibrahim
vivendi_universal	vivendi
john_kerry	senator_john_kerry
travel_agencies	travel_agency
democratic_national_committee	dnc
chief_technology_officer	cto
southern_football_league	southern_league
fielding	henry_fielding
dinosauria	dinosaur
death_cult	the_cult
madhuri_dixit	madhuri
busoni	ferruccio_busoni
cramps	the_cramps
tagalog_language	tagalog
adobe_photoshop	photoshop
netscape_communications_corporation	netscape
ld50	median_lethal_dose
nile_river	nile
diatomic_molecule	diatomic
ernest_hemingway	hemingway
casas	coleophora
chordata	chordate
vb	visual_basic
charles_ives	ives
support_vector_machine	svm
helianthus_annuus	sunflowers
dippy_dawg	goofy
new_general_catalogue	ngc
joe_lieberman	joseph_lieberman
game_show_network	gsn
deutschlandlied	german_national_anthem
uc_santa_cruz	ucsc
alger	algiers
main_river	main
compliance	regulatory_compliance
edge	the_edge
borderline_personality_disorder	bpd
solo	surakarta
corfu	kerkyra
relief_pitcher	reliever
yevgeny_zamyatin	zamyatin
johann_pachelbel	pachelbel
international_olympic_committee	ioc
thomas_alva_edison	thomas_edison
chili_peppers	red_hot_chili_peppers
pixies	the_pixies
character	fictional_character
cherubini	luigi_cherubini
baleen_whale	mysticeti
bananas	banana
hour	hrs
augusto_pinochet	pinochet
home_shopping_network	hsn
free_france	free_french_forces
pcr	polymerase_chain_reaction
wiki_markup	wikitext
aeronautical_engineering	aerospace_engineering
judy_garland	judy
kiwifruit	kiwi
dfb	german_football_association
akvavit	aquavit
bunny	rabbit
pahs	polycyclic_aromatic_hydrocarbons
durante	jimmy_durante
cosmic_inflation	inflation
dlc	downloadable_content
national_collegiate_athletic_association	ncaa
gloria_estefan	miami_sound_machine
thyroid_gland	thyroid
romanesque_architecture	romanesque
ermine	stoat
drusilla	dru
reggie_mantle	reggie
wages	wage
aramaic_language	aramaic
jonny_greenwood	jonny
uniform_resource_locator	url
maasai	maa
manhattan	new_york_county
isley_brothers	the_isley_brothers
coffee_shop	coffeehouse
domestic_violence	spousal_abuse
aeneid	the_aeneid
catty	jin
french_socialist_party	socialist_party
stalinism	stalinist
owl	web_ontology_language
original_dixieland_jass_band	original_dixieland_jazz_band
double	the_double
m4_sherman	sherman_tank
td	touchdown
blood_clot	thrombus
cervantes	miguel_de_cervantes
madge	madonna
county_westmeath	westmeath
new_musical_express	nme
rudolph_valentino	valentino
greek_revival_architecture	greek_revival
paediatrics	pediatrics
buckminsterfullerene	buckyball
pashto_language	pashto
detroit_red_wings	red_wings
af	atrial_fibrillation
max_goof	max
bowie	david_bowie
international_space_station	iss
hart_memorial_trophy	hart_trophy
guangdong_province	guangdong
tiny_toon_adventures	tiny_toons
handgun	pistol
lenape	lenni_lenape
mankind	mick_foley
national_theatre	royal_national_theatre
imperial_russia	russian_empire
apple_tree	apple
gothic_architecture	gothic
bittorrent	torrent
cambridge_university	cambridge
zombies	zombie
erectile_dysfunction	impotence
bronchodilators	bronchodilator
immune_suppression	immunosuppression
prion_disease	tse
detective	police_detective
monatomic_gas	monatomic
l-tryptophan	tryptophan
chairs	chair
odyssey	the_odyssey
ultimate_frisbee	ultimate
yazoo	yaz
boston_university	bu
florida_marlins	miami_marlins
adam_opel_ag	opel
douro_river	douro
poland	polska
joshua_reynolds	sir_joshua_reynolds
hectares	hectare
nbc_symphony_orchestra	nbc_symphony
sweet	the_sweet
simon_templar	the_saint
tennessee	tn
guadalquivir_river	guadalquivir
geraldo_rivera	geraldo
alp	australian_labor_party
elm_city	new_haven
ringo_starr	ringo
georg_wilhelm_friedrich_hegel	hegel
the_yardbirds	yardbirds
isopropanol	isopropyl_alcohol
denis_diderot	diderot
nigella_lawson	nigella
mandate_palestine	mandatory_palestine
gnu_lesser_general_public_license	lgpl
total_s.a.	total
insanity	madness
husky	siberian_husky
uc_san_diego	ucsd
sid_james	sidney_james
false_etymology	folk_etymology
james_dean	jimmy_dean
turntablism	turntablist
mary_wollstonecraft	wollstonecraft
symbols	symbol
a500	amiga_500
microscopic_scale	microscopic
al-ghazali	algazel
daniel_handler	lemony_snicket
kinneret	lake_tiberias
ethers	ether
faeroe_islands	faroe_islands
trey_anastasio	trey
game_boy_advance	gba
gaul	roman_gaul
kareem_abdul-jabbar	lew_alcindor
episcopal_church	protestant_episcopal_church
william_wordsworth	wordsworth
arcminutes	arcminute
ernest_shackleton	sir_ernest_shackleton
match_game	the_match_game
socialisation	socialization
avedon	richard_avedon
cervidae	deer
apulia	puglia
continents	continent
antidepressants	antidepressant
merovingian_dynasty	merovingian
ethnic_group	ethnicity
tactical_studies_rules	tsr
neurodegeneration	neurodegenerative_disease
drug_trafficking	illegal_drug_trade
haddon_township	westmont
zinc	zn
buggles	the_buggles
annette_funicello	annette
irish_naval_service	naval_service
oriental	orient
bagpipes	bagpipe
cincinnati	queen_city
mithraic_mysteries	mithraism
maggie_simpson	maggie
jean_giraud	moebius
internet_relay_chat	irc_client
heritage_foundation	the_heritage_foundation
ralph_richardson	sir_ralph_richardson
upper_dublin_township	upper_dublin
muscle_contractions	muscle_contraction
building_construction	construction
injuries	injury
the_trojan_women	trojan_women
military_helicopters	military_helicopter
commons	the_commons
urate	uric_acid
swans	sydney_swans
apparel	clothing
john_xii	pope_john_xii
leiden	leyden
alt-country	alternative_country
balkan_mountains	stara_planina
pre-eclampsia	toxemia
saint_sebastian	sebastian
horowitz	vladimir_horowitz
party_games	party_game
memorabilia	souvenir
elektra_records	elektra
mins	minute
psychosis	psychotic_disorders
lycra	spandex
malmstrom_afb	malmstrom_air_force_base
gnss	satellite_navigation
yleisradio	yle
apiculture	beekeeping
steve_van_zandt	steven_van_zandt
arminianism	arminian
buffalo_bill_cody	buffalo_bill
zulu_language	zulu
couch	sofa
sci_fi_channel	syfy
quantitative	quantity
natural_history_museum	the_natural_history_museum
oglala_lakota	oglala
hypodermis	subcutaneous_tissue
sydney_cbd	sydney_central_business_district
sicilia	sicily
eielson_afb	eielson_air_force_base
mycenaean_greece	mycenaean_period
cube	ice_cube
german_measles	rubella
capsize	capsizing
vampires	vampire
kingdom	monarchy
stettin	szczecin
harvard_university	harvard
conference_centre	convention_center
karlovy_vary	karlsbad
storm	thunderstorm
neuro-linguistic_programming	nlp
severus_snape	snape
rfu	rugby_football_union
secure_sockets_layer	transport_layer_security
computer_sciences_corporation	csc
un_charter	united_nations_charter
dante_alighieri	dante
brussels	bruxelles
latifah	queen_latifah
yukon_territory	yukon
avril_lavigne	avril
bayer_ag	bayer
radio_france_internationale	rfi
meatballs	meatball
boleyn_ground	upton_park
net_assets	net_worth
neil_peart	peart
britannia	roman_britain
allman_brothers	the_allman_brothers_band
the_y	ymca
olfaction	smell
bouncer	doorman
cms	content_management_system
rash	skin_rash
pmdd	premenstrual_dysphoric_disorder
big_island	hawaii
amilcare_ponchielli	ponchielli
christopher_wren	sir_christopher_wren
oxfordshire	oxon
cardassian_union	cardassian
john_paul_ii	pope_john_paul_ii
idm	intelligent_dance_music
swan_song_records	swan_song
inches	inch
afro-asiatic	afroasiatic_languages
gregory_v	pope_gregory_v
big_pine_key	big_pine
lion	panthera_leo
specials	the_specials
brahms	johannes_brahms
vertebrata	vertebrate
ficus	fig
carl_gustav_jung	carl_jung
covert_action	covert_operation
miyagi_prefecture	miyagi
chrysalis_records	chrysalis
betrothal	engagement
majorca	mallorca
yenisei_river	yenisey
station_agent	station_master
general_accounting_office	government_accountability_office
sans_institute	sans
kim_kardashian	kim
abruzzi	abruzzo
abolitionism	abolitionist
naras	the_recording_academy
kylie_minogue	kylie
bbc2	bbc_two
canadian_football_league	cfl
taste	the_taste
siouxsie_sioux	siouxsie
plans	plan
city_centre	manchester_city_centre
unitarian_universalism	unitarian_universalist
muscle_pain	myalgia
charles_wheatstone	sir_charles_wheatstone
open_source_initiative	osi
octa	orange_county_transportation_authority
boston_pops_orchestra	boston_pops
carbon_dioxide	co2
awol	desertion
ketubah	marriage_contract
bonham_carter	helena_bonham_carter
prime_minister_tony_blair	tony_blair
itunes_music_store	itunes_store
second_vatican_council	vatican_ii
tanjore	thanjavur
marsh	morass
mental_function	mental_process
baking_soda	sodium_bicarbonate
chams	cham
gudrun	kriemhild
h._pylori	helicobacter_pylori
platform_game	platformer
mental_breakdown	nervous_breakdown
chico_marx	chico
bantu_peoples	bantu
arizona	az
igor_stravinsky	stravinsky
chinese_constellations	chinese_constellation
hampden_park	hampden
israelites	israelite
groucho_marx	groucho
teiresias	tiresias
mentha	mint
poles	polish_people
john_coltrane	trane
general_practitioner	gp
little_egypt	southern_illinois
sabbatical_year	sabbatical
moorish	moors
advertising_agencies	advertising_agency
soviet_union	ussr
thread	yarn
sichuan_province	sichuan
tigris_river	tigris
kilometres	kilometre
marquis_de_sade	sade
north_india	northern_india
chomsky	noam_chomsky
driving_miss_daisy	miss_daisy
human_skeleton	skeletal_system
fox_mulder	mulder
caravan_park	rv_park
big_red_machine	the_big_red_machine
borinquen	puerto_rico
emilia-romagna	emilia
floor_covering	flooring
electromagnetic_pulse	emp
olympic_games	olympics
norman_architecture	norman
gilbert_islands	kiribati
female	girl
congas	conga
changing_room	locker_room
ilocano	ilokano
hydrologic_cycle	water_cycle
shan_state	shan
buenos_aires_province	buenos_aires
kwazulu-natal	natal
simon_rattle	sir_simon_rattle
orchidaceae	orchid
wcw	world_championship_wrestling
hebe	juventas
laurence_olivier	sir_laurence_olivier
bbc_radio_1	bbc_radio_one
rna_interference	rnai
daeva	div
hollywood_squares	the_hollywood_squares
east_indies	indies
expressionism	expressionist
scallions	scallion
crawfish	crayfish
new_hampshire	nh
turbocharger	turbo
icu	intensive_care_unit
infectious_mononucleosis	mononucleosis
jacobite_rebellion	jacobite_risings
kamehameha_i	kamehameha
huang_he	yellow_river
green_lantern	hal_jordan
west_texas_intermediate	wti
fungicides	fungicide
dns	domain_name_system
wired_magazine	wired
loyalty_card	loyalty_program
robert_walpole	sir_robert_walpole
impulsiveness	impulsivity
valentines	valentine
euro	eur
rheinland-pfalz	rhineland-palatinate
katagalugan	tagalog_republic
nematode	roundworms
broiling	grilling
arts	the_arts
hebrew_calendar	jewish_calendar
blackbeard	edward_teach
crataegus	hawthorn
sharp_corporation	sharp
central_nervous_system	cns
pants	trousers
costello	lou_costello
palaeozoic	paleozoic
benny_andersson	benny
flaming_lips	the_flaming_lips
midway_games	midway
radio-frequency_identification	rfid
infrared	ir
loch_ness_monster	nessie
wisconsin	wi
nclb	no_child_left_behind_act
diodorus_siculus	diodorus
chicago_symphony_orchestra	cso
mister_fantastic	reed_richards
double_bill	double_feature
eastern_seaboard	us_east_coast
metropolitan_transportation_authority	mta
basso_continuo	figured_bass
atlanta_braves	boston_braves
fm_broadcasting	fm_radio
inclination	orbital_inclination
decompression_sickness	the_bends
ostrogoths	ostrogoth
guardian	the_guardian
friedrich_nietzsche	nietzsche
fashion_industry	fashion
sandman	the_sandman
littoral_zone	littoral
frank_zappa	zappa
jean_racine	racine
kling_klang_studio	kling_klang
eiffel_tower	la_tour_eiffel
vandenberg_afb	vandenberg_air_force_base
arthropoda	arthropod
isaac_newton	sir_isaac_newton
averroes	ibn_rushd
best_motion_picture	outstanding_production
affleck	ben_affleck
punch_card	punched_card
maximization	profit_motive
l.a.	los_angeles
indo-china	mainland_southeast_asia
rosetta_tharpe	sister_rosetta_tharpe
berlin_airlift	berlin_blockade
special_forces	special_operations_forces
corn	maize
northamptonshire	northants
adar_ii	adar
mukden	shenyang
washington_state_university	wsu
football_league_championship	the_championship
art_gallery	art_museum
saudi_arabian_airlines	saudia
flushing	vlissingen
romulus_augustulus	romulus_augustus
almshouses	almshouse
1st_avenue	first_avenue
hst	hubble_space_telescope
crystal_palace_f.c.	crystal_palace
vans_warped_tour	warped_tour
clara_schumann	clara_wieck
typhoeus	typhon
partridge_family	the_partridge_family
amu_darya	oxus_river
ntl	virgin_media
arnold_schoenberg	schoenberg
medina	yathrib
forest	nottingham_forest
turnips	turnip
odor	odour
haymarket_theatre	theatre_royal_haymarket
supernovae	supernova
wireless_communication	wireless
cockney_rhyming_slang	rhyming_slang
ashoka	asoka
tyndall_afb	tyndall_air_force_base
chaucer	geoffrey_chaucer
clare	county_clare
bonnie_prince_charlie	charles_edward_stuart
x11	x_window_system
exercise	physical_exercise
z80	zilog_z80
charles_dickens	dickens
rutgers_university	rutgers
robert_schumann	schumann
bharatiya_janata_party	bjp
grand_prix_motorcycle_racing	motogp
david_letterman	letterman
iannis_xenakis	xenakis
cfo	chief_financial_officer
torpedo_bomber	torpedo
pstn	public_switched_telephone_network
chrome	google_chrome
valar	vala
burns	burn
parlophone_records	parlophone
athletic_bilbao	athletic_club
formula_2	formula_two
western_civilization	western_culture
new_york_university	nyu
english_americans	english_american
age-related_macular_degeneration	macular_degeneration
husayn_ibn_ali	hussein_ibn_ali
allergies	allergy
dayak_people	dayak
reval	tallinn
tartaric_acid	tartrate
myopathies	myopathy
flavius_josephus	josephus
def_jam_recordings	def_jam
james_bowie	jim_bowie
friso	prince_friso
sco	shanghai_cooperation_organisation
string_instruments	string_instrument
lives	parallel_lives
bridegroom	groom
mainline_protestant	mainline
orrin_hatch	senator_hatch
headaches	headache
monkees	the_monkees
pop_music	pop
caucasian	white
blues_music	blues
eastern_orthodox_church	eastern_orthodoxy
endemic	endemism
nato	north_atlantic_treaty_organization
strangling	strangulation
solubility	soluble
insights	insight
online_auctions	online_auction
islamic_world	muslim_world
animals	the_animals
harpo_marx	harpo
indiana_jones	indy
holloman_afb	holloman_air_force_base
welsh_language	welsh
nortel_networks	nortel
nellis_afb	nellis_air_force_base
moog_synthesizer	moog
poverty_alleviation	poverty_reduction
captain_john_smith	john_smith
television_new_zealand	tvnz
hermitage_museum	state_hermitage_museum
jove	jupiter
anton_rubinstein	rubinstein
cork	county_cork
socialist_left_party	sv
environmental_remediation	remediation
semiology	semiotics
pain_management	pain_medicine
rangefinder_camera	rangefinder
sketch_comedy	sketch
advanced_micro_devices	amd
radhakrishnan	sarvepalli_radhakrishnan
lebron_james	lebron
gin_rummy	gin
mcg	melbourne_cricket_ground
hellenistic_civilization	hellenistic_period
solar_masses	solar_mass
noble_metals	noble_metal
county_mayo	mayo
cluj-napoca	cluj
cab	taxicab
shaolin_monastery	shaolin_temple
black_eyed_peas	the_black_eyed_peas
rapture	the_rapture
general_anaesthesia	general_anesthesia
takeshi_kitano	takeshi
color	colour
handheld	mobile_device
gustav_holst	holst
humber	river_humber
cubits	cubit
forest_lawn_cemetery	forest_lawn_memorial_park
midwestern_united_states	midwest
woody_woodpecker	woody
anton_van_leeuwenhoek	antonie_van_leeuwenhoek
henry_mancini	mancini
abominable_snowman	yeti
honda_center	the_pond
institutions	institution
v-2_rocket	v-2
hina	ina
catherine_zeta-jones	zeta-jones
mexicans	mexican
fort_carillon	fort_ticonderoga
pyruvate	pyruvic_acid
aud	australian_dollar
western_movie	western
sir_thomas_beecham	thomas_beecham
fortunes	the_fortunes
president_richard_nixon	richard_nixon
etruscan_language	etruscan
marquess	marquis
music_notation	musical_notation
bbb	better_business_bureau
kings	sacramento_kings
regulatory_agency	regulatory_authority
marine_science	oceanography
yongle_emperor	zhu_di
santa_cruz_de_la_sierra	santa_cruz
lockerbie_bombing	pan_am_flight_103
esfahan	isfahan
princess_leia_organa	princess_leia
terminator	the_terminator
pet	positron_emission_tomography
september	sep
heilongjiang_province	heilongjiang
fatigue	metal_fatigue
loch	lough
augustinians	augustinian
self-confidence	self-confident
heinrich_himmler	himmler
associates	the_associates
urdu_language	urdu
ditko	steve_ditko
gogol	nikolai_gogol
genetic_mutation	mutation
northern_pacific_railroad	northern_pacific_railway
grimm	jacob_grimm
qld	queensland
friedrich_bessel	friedrich_wilhelm_bessel
drowsiness	somnolence
batman	bruce_wayne
georg_philipp_telemann	telemann
beetroot	beet
cylinder	cylindrical
drug_addiction	drug_dependence
sir_walter_raleigh	walter_raleigh
jewish_denominations	jewish_religious_movements
silverstone_circuit	silverstone
floyd_mayweather_jr.	floyd_mayweather
brass_knuckles	knuckles
joseph	yosef
coblenz	koblenz
traffic_light	traffic_signal
atlantic_intracoastal_waterway	intracoastal_waterway
afghan_whigs	the_afghan_whigs
hammer_film_productions	hammer_horror
fender_rhodes	rhodes_piano
graphical_user_interface	gui
papal_court	papal_household
uniform_resource_identifier	uri
e._coli	escherichia_coli
united_service_organizations	uso
requiem_mass	requiem
anatomically_modern_humans	homo_sapiens_sapiens
nationalism	nationalist
mail_carrier	postman
schroon_lake	schroon
adult_film	pornographic_film
astronaut	cosmonaut
bakhtin	mikhail_bakhtin
pension_funds	pension_fund
viola_da_gamba	viol
wembley_stadium	wembley
platters	the_platters
porphyrias	porphyria
old_vic_theatre	the_old_vic
consumer_price_index	cpi
cajun_cuisine	cajun
westwood_studios	westwood
lord_shiva	shiva
taj_mahal	taj
ronettes	the_ronettes
big_show	the_giant
half-mast	half-staff
phi_beta_kappa_society	phi_beta_kappa
adolph_zukor	zukor
labrador_retriever	labrador
nicholas_ii	tsar_nicholas_ii
masovia	mazovia
gretzky	wayne_gretzky
liam_gallagher	liam
internet	the_internet
jpeg	jpg
geri_halliwell	geri
seneca_people	seneca_tribe
iucn	world_conservation_union
ascalon	ashkelon
boss	final_boss
caribbean_cuisine	caribbean
tube	tubing
somali_language	somali
property_developer	real_estate_development
stenosis	stricture
formula_3	formula_three
draco_malfoy	draco
brooklyn	kings_county
harry_potter	harry
brake_pads	brake_pad
passeriformes	passerine
south_asia	southern_asia
russian_federation	russia
globus_pallidus	pallidum
charpentier	marc-antoine_charpentier
playstation_2	ps2
flagellation	flogging
plc	public_limited_company
estate_tax	inheritance_tax
county_sligo	sligo
dischord_records	dischord
righteous_brothers	the_righteous_brothers
peach_tree	peach
baritone_saxophone	baritone_sax
lesser_sunda_islands	nusa_tenggara
green_hornet	the_green_hornet
aclu	american_civil_liberties_union
end_times	last_days
bugs_bunny	bugs
volkswagen	vw
holidays	holiday
psv_eindhoven	psv
faa	federal_aviation_administration
trainer_aircraft	trainer
grammy_awards	grammys
bass_river_township	bass_river
coroners	coroner
american_psychological_association	apa
mems	microelectromechanical_systems
miscarriage	spontaneous_abortion
carmelites	carmelite
nursery	plant_nursery
adobe_illustrator	illustrator
creation_records	creation
mtv_unplugged	unplugged
blog	weblog
agt	telus
nonesuch_records	nonesuch
old_east_slavic	old_russian
dha	docosahexaenoic_acid
tianjin	tientsin
calcutta	kolkata
13_colonies	thirteen_colonies
annuities	annuity
nba_slam_dunk_contest	slam_dunk_contest
northwest_territories	nwt
all-american	all-america
fairchild_afb	fairchild_air_force_base
mercury_program	project_mercury
parsecs	parsec
holy_trinity	trinity
playoffs	playoff
heavy_metal_music	heavy_metal
fatty	roscoe_arbuckle
national_film_board	nfb
